data_arquivamento,acessibilidade,impacto_ambiental,nome,democratizacao,justificativa,mecanismo,resumo,sinopse,especificacao_tecnica,data_inicio,objetivos,ficha_tecnica,etapa,data_aceite,id,estrategia_execucao,data_termino
,"Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Font Definitions */ @font-face {font-family:OpenSymbol; panose-1:0 0 0 0 0 0 0 0 0 0; mso-font-charset:0; mso-gen","","Estréia Nacional e Circulação do Espetáculo e Workshop  - Hotel Medea da meia noite ao amanhecer -","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom:.000","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom:.000","Mecenato","A Estréia Nacional e circulação do espetáculo Hotel Medea - da meia noite ao amanhecer em 6 cidades de 3 estados brasileiros (Maranhão, Rio de Janeiro e São Paulo), num total de 16 apresentações do espetáculo e realização de 8 rodas-brincante. Em cada cidade acontecerá também um workshop num total de 6. O Espetáculo é uma releitura do mito de Medéia utilizando elementos da cultura popular brasileira. Roda brincante trata-se de um festejo popular com os elementos populares que compõe o projeto.","","","2009-07-01","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Font Definitions */ @font-face {font-family:Verdana; panose-1:2 11 6 4 3 5 4 4 2 4; mso-font-charset:0; mso-gener","","1ª etapa do projeto - Pré-produçãoJulho 2009 - Reuniões com toda equipe de produção; - Elaboração de releases e materiais de divulgação pela assessoria de imprensa;- Planejamento final de pauta e de e",,21,"","2009-11-30"
,"Todas as ações do projeto Exposição Estados da Alma terão acesso gratuito, tanto na distribuição gratuita da totalidade do catálogo comemorativo, como do folder revista e da acessibilidade gratuita em","","ESTADOS DA ALMA - A ESTÉTICA DA DOR","Todas as ações do projeto Exposição Estados da Alma terão acesso gratuito, tanto na distribuição gratuita da totalidade do catálogo comemorativo, como do folder revista e da acessibilidade gratuita em","O projeto EXPOSIÇÃO ESTADOS DA ALMA – A ESTÉTICA DA DOR  é a apresentação de cinco exposições de magnitude e difusão cultural, em moderno projeto de expografia e cenografia, com  o conjunto de 18 escu","Mecenato","Estados da Alma %u2013 A Estética da Dor%u201D, é a realização de cinco nexposições de arte, de magnitude e difusão cultural, em moderno projeto de expografia com o conjunto de esculturas produzidas pela escultora gaúcha Arminda Lopes, dando continuidade a série A Estética da Dor, iniciada com Perdas, em 2004 e, Miseráveis, em 2006. As mostras iniciam em Porto Alegre e itineram para SP, RJ, MG e BA. Será editado catálogo de arte, bilingue, com 194 páginas e tiragem de 2.000 exemplares.","","","2009-04-30","Realizar cinco exposições de magnitude e difusão cultural, em moderno projeto de expografia  e cenografia, com  o conjunto de esculturas criadas pela escultora gaúcha Arminda Lopes, denominado ESTAD","","JANEIRO/2009 Apresentação do projeto ao Mecenato;   ABRIL/MAIO/2009 – 60 DIAS Curadoria Preparação técnica, material, molde silicone e fundição em bronze das esculturas; Projeto arquitetônico e de exp",,22,"","2010-12-31"
,"Utilizaremos os espaços já existentes nos ginásios designados a portadores de necessidades especiais. Quando estes lugares não forem adequados ou suficientes, abriremos o espaço ao redor da pista para","Não Aplicável, eventos realizados em ginásios.","Periquitos em Revista","Nossa política de troca de convites de todas as apresentações por doações de alimentos não perecíveis, roupas, brinquedos, etc., e a abertura sem a necessidade de doação para entidades carentes é a no","Apresentamos este projeto a consideração deste Ministério, além de ser por seus méritos puramente artísticos, para poder ter acesso a recursos beneficiados pelos incentivos da Lei 8.313/91, viabilizan","Mecenato","Grande espetáculo de Patinação Artística sobre rodas, nos moldes do Holiday on Ice, formado por atletas das melhores escolas de patinação do país. Serão vinte apresentações em dez cidades a fim de difundir o esporte e a cultura de uma forma democrática para toda a população, inclusive a de baixa renda. Promoveremos a inclusão social com a participação de atletas portadores de necessidades especiais e a filantropia com troca dos convites por roupas, alimentos ,etc,doados para entidades locais.","nonononononononononononononononononononononononononononononononono","Não Aplicável","2011-01-01","Encantar com belas coreografias, magníficos figurinos e a destreza dos patinadores, só visto em grandes produções. Viajaremos por dez cidades realizando duas apresentações em cada e esperamos entreter","Com: Diretora Geral: Maria Tereza Bellangero Direção Artística: Marcello Cória Massaíni Direção Executiva: Luciano Coutinho Professora Técnica: Patrícia Fanti Mais de dez vezes Camp","O caminho que seguimos desde a concepção deste projeto até atingir completamente os objetivos traçados são: CADASTRAMENTO - Levantamento de custos, definição do escopo do projeto, pesquisa, definição",,23,"Não Aplicável","2011-12-31"
,"Em todas as produções que realizamos, temos o cuidado de tratar bem todo e qualquer público que se disponha a nos assistir. Escolheremos teatros que possam receber espectadores com necessidades especi","","LONGA JORNADA NOITE ADENTRO","Caso a produção consiga captação para que suas despesas de manutenção (aluguéis de equipamentos, salários, transportes aéreos e terrestres, alimentação, etc.) sejam cobertas, sem depender de bilheteri","A maior função do Teatro sempre foi mostrar o homem ao homem. Aliás, o teatro nasceu com esse propósito e no maior teatro ocidental de todos os tempos, o teatro grego, a pólis (cidade) parava durante","Mecenato","Montagem, temporadas no Rio de Janeiro e em São Paulo e turnê pelas cidades brasileiras, com a peça de Eugene O`Neiil, LONGA JORNADA NOITE ADENTRO, dirigida por DIOGO VILELA.","","","2009-04-06","A montagem de um dos maiores autores teatrais de todos os tempos: Eugene O'Neill. A peça é de grande importância nos dias atuais, por falar sobre a condição humana e suas frustações e/ou realizações p","","PRE-PRODUÇÃO Período indeterminado Atividades: tradução, direitos autorais, feitura do projeto, leitura do texto, composição da ficha técnica e captação de recursos.   PRODUÇÃO PARTE 1 Período:2 mese",,24,"","2010-03-31"
,"Em sua maioria as casas de espetáculos não estão preparadas para um atendimento personalizado ao deficiente físico. A maioria alega que uma reforma, além de ter custos altos, obriga a casa a ter de se","","TAMBORZADA","A COMPANHIA hoje é um dos únicos grupos do Rio de Janeiro que apresenta espetáculos de danças brasileiras, tanto de manifestações do nosso Estado, como de vários outros. São quase vinte manifestações","A Companhia Folclórica do Rio – UFRJ ocupa um espaço muito importante na valorização da cultura popular brasileira, na Arte e na Educação. Neste processo, acompanha mudanças importantes no cenário bra","Mecenato","O projeto TAMBORZADA, da Companhia Folclórica do Rio-UFRJ, é de montagem e de 10 apresentações de um espetáculo de dança. Sua proposta é de sensibilizar brasileiros à valorização da cultura popular. As 10 apresentações do espetáculo TAMBORZADA , deverão ocorrer no mês de agosto, em que se comemora o folclore, sendo 4 na UFRJ e 6 em temporada no Teatro Cacilda Becker/RJ.","","","2009-04-15","O projeto TAMBORZADA, da Companhia Folclórica do Rio-UFRJ, pretende sensibilizar brasileiros à valorização da cultura popular, através de 10 apresentações do espetáculo TAMBORZADA , no mês de agosto,","","PERÍODO DE ABRIL A MAIO DE 2009:   - Organização das pesquisas de campo realizadas sobre os batuques ritmos e danças dos tambores brasileiros, bem como pesquisas sobre figurino e cenário par espetácul",,25,"","2009-08-31"
,"Em sua maioria as casas de espetáculos não estão preparadas para um atendimento personalizado ao deficiente físico. A maioria alega que uma reforma, além de ter custos altos, obriga a casa a ter de se","","PERDE QUEM FICA ZANGADO PRIMEIRO","O teatro é, sem dúvida, uma importante ferramenta de transformação social. Não somente desempenhando um papel educacional, de formador de público, transformando assim a realidade cotidiana. Isto sem f","Como nos adverte Calvino “as fábulas são verdadeiras”, sem esperar pela resposta de quem tenha ficado atordoado com aquela revelação. Aquilo que ele nos leva a experimentar aproxima-nos do fato de que","Mecenato","A nossa proposta é realizarmos uma encenação para teatro inspirada no conto PERDE QUEM FICA ZANGADO PRIMEIRO, a partir da versão recolhida pelo escritor italiano Italo Calvino. Numa produção da Companhia do Vôo, o espetáculo pretende estabelecer um diálogo entre os elementos mais tradicionais do cômico popular, a fim de realizar a quarta montagem desse grupo com obras voltadas para o público infanto-juvenil.","","","2009-07-01","Temos aqui uma epopéia cômica reescrita por Ítalo Calvino com diversos personagens, a esperteza de um Malasartes italiano, e apenas 2 atores. Estes, na nossa versão, encarnam 2 palhaços vagabundos, ch","","CRONOGRAMA DE ATIVIDADES   ETAPA 01 – PRÉ-PRODUÇÃO Planejamento de montagem: estudo do texto dramático enquanto narrativa a ser desenvolvida cenicamente; desenvolvimento da concepção sobre a “mise en",,26,"","2009-11-30"
,"A acessibilidade aos portadores de necessidades espcecias as exposições tem garantia dos locais especialmente selecionados, com infraestrutura e plenas condições de receber","","EXPOSIÇÃO ESTADOS DA ALMA - A ESTÉTICA DA DOR","","ESTADOS DA ALMA – A ESTÉTICA DA DOR,  é a apresentação de cinco exposições de magnitude e difusão cultural, em moderno projeto de expografia  e cenografia, com  o conjunto de esculturas criadas pela e","Mecenato","ESTADOS DA ALMA – A ESTÉTICA DA DOR, é a apresentação de cinco exposições de magnitude e difusão cultural, em moderno projeto de expografia e cenografia, com o conjunto de esculturas criadas pela escultora gaúcha Arminda Lopes, completando a série A Estética da Dor iniciada, com Perdas, em 2004 e, Miseráveis, em 2006. O projeto tem estréia em Porto Alegre e itinera para SP, RJ, BH e Salvador. Edição de catálogo de arte, 194 páginas, tiragem de 2.000 exemplares, com textos de Arminda Lopes.","","","2009-04-30","Realizar cinco exposições de magnitude e difusão cultural, em moderno projeto de expografia  e cenografia, com  o conjunto de esculturas criadas pela escultora gaúcha Arminda Lopes, de nominado ESTADO","","",,27,"","2010-12-31"
,"A produção declara ciência que os locais de apresentação deverão atender às necessidades que garantam acesso aos portadores de necessidades especiais. Os locais a seguir atendem os requisitos, emborad","","SIMONE TURNÊ 2009","Do produto cultural resultante: 10% serão distribuídos gratuitamente, quando solicitado pelo Ministério, conforme regras a serem definidas, garantindo acesso à população menos favorecida. 10% serão of","No desenvolvimento do seu trabalho musical, a cantora Simone mergulha no universo do samba, estuda os novos sons do País, pesquisa novos compositores e apresenta sua visão desse universo tão brasileir","Mecenato","Produção e turnê do novo espetáculo da cantora Simone, que apresenta uma seleção de sambas, dividido em grandes sucessos de compositores consagrados, com uma novo roupagem musical, e o lançamento de novos compositores.","","","2009-04-20","O projeto SIMONE 2009 tem por objetivo a produção do novo show da cantora Simone, com apresentações nas cidades do Rio de Janeiro, São Paulo, Brasília, Salvador e Belo Horizonte.   Neste novo espetác","","Período de pré-produção, ensaios e montagem (produção): 4 semanas. Estréia e circulação: 6 semanas. Fechamento e Prestação de contas: 2 semanas. Total: 12 semanas (3 meses).       Etapa 1 – contrat",,28,"","2009-07-20"
"2010-06-09","Na sede da Acer o acesso a Biblioteca, onde teremos a mediação de leitura e outras oficinas, tem rampa para cadeirantes. Todas as oficinas estão abertas a portadores de deficiencias de nível leve.","","Desenvolvimento Sustentável: Cultura e Cidadania","Os livros, os patrocinadores receberão uma cota. O restante da tiragem será doada aos jovens participantes das oficinas, ao programa de incentivo a leitura da biblioteca comunitária da ACER e as esco","ACER atende crianças e jovens de Eldorado - Diadema – SP, que geograficamente está em uma área de manancial, fato que impede a construção de novas empresas, dificultando ainda mais a expansão econômic","Mecenato","Será uma ação com oficinas culturais/cursos, livros, apresentações e DVD documentário (da própria ação) que irá fomentar a compreensão dos valores culturais e sociais que influenciam a comunidade de Eldorado. Apresentar tais relevâncias facilitará a compreensão dos fatores que constroem as relações sociais e comerciais na comunidade.","","","2009-08-15","A ACER atende crianças e jovens em situação de vulnerabilidade social e existe forte demanda por atividades culturais e produtivas. Este projeto vem atender esta necessidade, apresentando possibilidad","","Estabelecimento de parcerias: Para a efetiva realização do projeto, dentro dos níveis de sucesso almejados, é necessário o estabelecimento de uma série de parcerias entre coordenação geral do projeto",,29,"","2010-08-15"
"2013-10-29","As atividades serão realizadas na sede da Associação, sempre no térreo, e em logradouros públicos.","","LARGO CULTURAL DAS MERCÊS","Todas as atividades terão acesso gratuito ao público em geral, especialmente os trabalhadores e suas familias, moradores e usuários do centro histórico de Belém,  considerando-se aí o numero limite de","A Associação Fotoativa é uma associação civil sem fins lucrativos, com o objetivo de organizar e administrar um centro de ensino, pesquisa, difusão e preservação da fotografia e promover o aprendizado","Mecenato","Realizar na cidade de Belém,. eventos, mostras, jornadas, palestras, colóquios e oficinas de fotografia, voltados para o público em geral, em logradouros públicos e especialmente para o público morador e usuário do centro histórico de Belem.","","","2009-04-06","Exercício coletivo do fazer fotográfico, voltado para a re-educação do olhar para a cidade de Belém, a partir do Bairro do Comércio, no centro histórico de Belém. Promover eventos, mostras e exposiçõ","","Captação de recursos e assinatura contrato Contratação  Coordenador e produtora cultural Pré produção para o Pinhole Day Projeto gráfico material impresso divulgação Composição de equipe Levantamento",,30,"","2009-12-31"
,"Com o objetivo de permitir o ingresso de pessoas portadoras de deficiência física, os locais de lançamento, tanto na capital gaúcha com nas cidades do interior, terão o accesso facilitado através de r","","Retratos Gaúchos: Seus Povos, Sua Alma","Com o objetivo de democratizar o acesso de camadas menos favorecidas ao material elaborado pelo projeto, teremos: - Acesso gratuito a exposição de fotos constantes no livro; - Distribuição gratuita de","É notório que a história de uma cidade, estado ou país deve-se muito aos povos que escolheram aquele lugar como sua moradia, seu habitat para criar sua família. Num mesmo local podemos ter diferentes","Mecenato","Publicação de um livro que relate a história de dezessete povos que ajudaram a colonizar o estado do Rio Grande do Sul (alemães, italianos, japoneses, judeus, índios, espanhóis, açorianos, negros, árabes, palestinos, chineses, coreanos, poloneses, russos, suecos, austríacos e ucranianos). Quais suas contribuições para a cultura e o desenvolvimento do estado. Lançamento do livro na capital gaúcha e em quatro cidades do interior. Tiragem de três mil exemplares, com distribuição gratuita.","","","2009-04-10","GERAL: - Editar e publicar um livro que mostre a história de dezessete povos que  ajudaram a colonizar o estado do Rio Grande do Sul: sua contribuição para o crescimento, como eles viveram e vivem atu","","A edição do livro “Retratos Gaúchos: Seus Povos, Sua Alma” prevê as seguintes ações: ABRIL Captação dos recursos com apoio da Lei Rouanet; ABRIL A DEZEMBRO ABRIL A AGOSTO Organização da equipe de edi",,31,"","2009-12-31"
,"O espetáculo, resultado desse projeto, será apresentado no Centro Cultural Banco do Brasil de São Paulo, espaço em perfeitas condições de acesso aos portadores de necessidades","","SHIRLEY VALENTINE","O espetáculo é patrocinado pelo CCBBSP, responsável pela distribuição do produto cultural (ingressos), que mantém uma política que preços basntante populares, garantindo a democratização do acesso.","As razões que incentivaram esta produtora a iniciar este projeto são: No elenco contamos com a grande atriz Beth Faria, que opta por montar um espetáculo pequeno, monólogo, que a permita viajar por to","Mecenato","Produção do espetáculo teatral SHIRLEY VALENTINE, de Willy Russel, com a atriz Beth Faria, para apresentação do Centro Cultural Banco do Brasil em São Paulo.","","","2009-04-09","Este projeto tem por objetivo a montagem teatral de SHIRLEY VALENTINE, texto de Willy Russel, com a atriz Beth Faria, sob direção, do também ator, Guilherme Leme. Nesta primeira etapa o espetáculo ser","","Etapa 1 - contratção de profissionais de criação Etapa 2 - detalhamento da produção e planejamento do processo de produção Etapa 3 - início da produção executiva Etapa 4 - Ensaios Etapa 5 - Divulgação",,32,"","2009-08-09"
,"Os locais de apresentação ainda não foram definidos, mas a produtora tem ciência da necessidade de oferecer aos portadores de necessidades especiais plenas condições de acesso.","","PAULO MOURA - 60 ANOS DE CARREIRA","Do total do produto cultural (disponibilidade de lugares, CDs, DVDs e lvros): 10% distribuição gratuita 10% venda a preços populares 10% patrocinadores 70% venda a preços de mercado","O projeto PAULO MOURA - 60 ANOS DE CARREIRA se justifica no registro de forma plena do universo do músico Paulo Moura, documentando sua carreira e seu trabalho, na contribuição da construção da histór","Mecenato","Este projeto comemora 60 anos de carreira do músico Paulo Moura, um dos mais importantes instrumentistas do País. Propõe a produção do novo show, turnê nacional, produção de livro biográfico e DVD. O DVD documentará o processo de criação do artista, desde a escolha do repertório até a finalização da gravação de um novo trabalho, e a duração prevista de 90 minutos.","","","2009-05-10","Este projeto propõe a comemoração dos 60 anos de carreira do músico Paulo Moura, considerado um dos mais importantes solistas populares do País. Consiste na produção do seu novo show, registro em DVD,","","Etapa 1 - Planejamento do projeto e organização de agenda. Etapa 2 - Início da produção do documentário / entrevistas para o livro Etapa 3 - Início da produção do show / divulgação do projeto de comem",,33,"","2009-12-30"
,"Os projetos arquitetônicos e técnicos que integram o objeto do presente projeto de incentivos fiscais serão elaborados de acordo com a legislação e as normas técnicas que tratam da acessibilidade, a","","Museu e Centro Cultural da Casa da Moeda - Restauro - Fase 1 - Elaboração de Projetos e Intervenções Emergenciais","A visitação ao Museu da Casa da Moeda será gratuita e contará com um programa educacional voltado para o público escolar das redes pública e privada de ensino.                   Os","A transferência, em 1986, deste imóvel tombado para a Casa da Moeda se deu como parte dos entendimentos que permitiram que o Arquivo Nacional fosse transferido para a sede histórica da Casa da Moeda n","Mecenato","Realizar os levantamentos arquitetônico, histórico e iconográfico e elaborar os projetos básico de aprovação e executivo para restauração e adaptação do imóvel tombado situado à Praça da República 26, Centro, Rio de Janeiro %u2013 RJ. Serão realizadas, também, intervenções emergenciais inadiáveis : substituição de telhas quebradas e calhas faltantes e instalação de aparalixo para proteção de pedestres de desprendimentos de revestimento da fachada (exigência da Defesa Civil)","","","2009-05-15","Objetivos - Fase I – Elaboração de Projetos   O presente projeto tem por objetivo a elaboração dos projetos básicos de aprovação e executivos de restauração e adaptação do imóvel tombado situado à P","","O presente projeto será desenvolvido segundo as seguintes metas e itens :   1.      PRE-PRODUÇÃO / PREPARAÇÃO - PROJETOS             1.1      Levantamentos – Maio / Junho             1.1.1",,34,"","2009-10-15"
"2010-05-26","ACESSIBILIDADE : - O projeto por se realizar nos próprios locais de frequência diária do público alvo já garante a presença dos  mesmos, devendo os gestores das entidades serem orientados para garanti","","CONTOS E PEÇAS : De criança para criança ","Democratização : Pressupõe que os trabalhos a serem realizados em escolas públicas e hospitais das regiões de baixa renda do região do alto Tietê/SP já garantem democratização em todos os quesitos req","JUSTIFICATIVA Analisando a região do alto Tietê/SP vimos que muitas das cidades não possuem teatro, museu, centro cultural ou qualquer outro tipo de divulgação e expansão da cultura. Escolas e hospita","Mecenato","Promover a contação de histórias e peças teatrais através de crianças e adolescentes com elenco (amador ) para crianças da Ed. Infantil e Fundamental 1, além de hospitais da rede pública e privada para cidades carentes de programações culturais do Alto Tietê, SP ( Biritiba Mirim, Salesópolis, Santa Isabel, Arujá, Guararema, Santa Branca, Paraibuna e etc.) no período de 12 meses, e estimular a formação de novos voluntários e elenco.","","","2009-05-05","OBJETIVO CONTOS E PEÇAS : De criança para criança   Objetivo Geral : Permitir o acesso da contação de histórias e peças teatrais à crianças em regiões onde não há incentivo a cultura na região do A","","ETAPAS DE TRABALHO ETAPA 1 -  Maio, junho e julho 2009 -Captar recursos e firmar parcerias - Buscar local para sede do projeto, aquisição de móveis e utensílios escritório. - Preparação e organização",,35,"","2010-05-05"
,"Quando da realização dos concertos, geralmente são gratuitos, e quando não são disponibilizados a preços populares, uma cota é distribuida gratuitamente, e  é cumprida sempre a legislação da meia en","","Cia. Musical Euterpe- Atividades 2009-2011","O acesso as aulas e aos ensaios para todos os já participantes, e para os novos interessados em participar do grupo é gratuita, assim como a cedência/empréstimo dos instrumentos musicais. Sempre 10% d","A Banda Musical hoje mantida pela associação, foi criada na  década de 70, e  vem difundindo o nome de nossa cidae e estado em inúmeros eventos promovendo e divulgando a cultura musical de forma","Mecenato","Manter as atividades da Banda Musical, denominada Cia. Musical Euterpe mantida pela Associação Recreativa, Cultural e Artística de Jaraguá do Sul durante os anos de 2009,2010 e 2011 e realizar pelo menos um grande concerto ao ano.","","","2009-07-07","Manter as atividades da Banda Musical, denominada “Cia. Musical Euterpe” mantida pela Associação Recreativa, Cultural e Artística de Jaraguá do Sul, e realizar pelo menos um grande concerto ao ano. As","","-       aprovação do projeto e captação dos recursos;  -         locação de espaço físico ( a fim de possibilitar a realização das aulas individuais, coletivas e os ensaios da banda); -",,36,"","2011-07-07"
"2010-05-26","No intuito de facilitar o acesso do público ao espetáculo “Um Homem, Uma Mulher”, a produção pretende escolher um teatro onde haja rampas de acesso, para cadeirantes, e disponibilizar pessoas preparad","","UM HOMEM, UMA MULHER","A produção do espetáculo teatral “Um Homem, Uma Mulher”, no intuito de viabilizar a democratização cultural, pretende:   Realizar apresentações gratuitas e/ou a baixo custo para estudantes e comunid","Incapacidade de compreender “o outro”. De percebê-lo sequer. Nesta sociedade individualista e narcisista, o outro é visto apenas como objeto de uso, “coisa” descartável, pedestal para subida ou e","Mecenato","Espetáculo composto de dois textos, um de Maria Helena Kühner “Meu rosto-Teu rosto” - Ator em crise emocional decide executar um plano pessoal na noite de estréia de uma peça, com isso mudando o rumo da ação teatral, e outro de Miriam Halfim. “Terapia conjugal” - uma dedicada e típica matriarca judia descobre que é traída pelo marido. Com temporada de 3 meses no RJ e debates programados em algumas apresentações, com especialistas da área das ciências humanas.","","","2009-04-06","Montar e apresentar o  espetáculo “Um Homem, Uma Mulher” em temporada de três meses no RJ, com vistas a apresentá-lo posteriormente em um circuito itinerante por todo o estado do RJ e, em segu","","Etapa 1 Encaminhamento e Aprovação de projeto Captação de Recursos Duração – 2 meses fevereiro e março de 2009   Etapa 2 Contratação de toda a equipe comprometida com o espetáculo O local de en",,37,"","2009-11-22"
,"Portadores de necessidades especiais terão acesso gratuito ao Festival e eventos paralelos, sendo assim o Festival reserva estas capacidades até o começo do espetáculo ou dos eventos, sendo  divulga","","FESTIVAL LATINO-AMERICANO DE TEATRO DA BAHIA-FILTE 2009. 2DA EDIÇÃO.","Os ingressos do Filte 2009 terão um valor de R$ 2,00 inteira e R$ 1,00 para estudantes. O que possibilitará o acesso às camadas sociais menos favorecidas economicamente. Se farão apresentações de","Salvador, como metrópole e os interiores do Estado da Bahia, vêm vivenciando uma crescente transformação na esfera artístico-cultural, que aponta para a descentralização dos meios de acesso à cultura","Mecenato","Filte 2009 ampliando a edição anterior faz interagir o teatro latino-americano com o teatro brasileiro,baiano e nordestino.57 apresentações estruturadas em Palcos(Adulto-4 salas,Infantil,Rua,Nordestino e Interior-4 municipios).Paralelo ao Filte 2009 acontecerão palestras,cursos,conferências,workshops,venda de livros e o II Encontro do Núcleo de Laboratórios Teatrais do Nordeste convidando pesquisadores de América Latina e Estados Unidos a interagir com as agrupações de pesquisa nordestinas.","","","2009-05-01","·          Organizar e realizar um evento teatral de natureza latino-americana, sendo que no país somente contamos com a Mostra Latino-Americana de Teatro de São Paulo. Possibilitando a descentralizaç","","1.   PRÉ-PRODUÇÃO. (A pré-produção começa o seu trabalho com uma pequena equipe que inicia os contatos com meses de antecipação, dedicados fundamentalmente às negociações, contatos, dar entrada do pro",,38,"","2009-11-01"
"2010-05-27","A biblioteca encontra-se no andar térreo da edificação do Centro Cultural que conta com portas de largura dupla para seu acesso e rampas nos locais necessários, temos pessoal preparado para orientação","","Centro Cultural Pandavas - Biblioteca e Videoteca Monteiro Lobato","As oficinas serão gratuitas e abertas aos jovens de ambos os sexos de 7 a 18 anos sem distinção de nível de escolaridade ou situação socioeconômica. A biblioteca  e o acesso a internet está aberta a t","O escritor Monteiro Lobato viveu e criou seus principais personagens no Sítio do Pica Pau Amarelo, localizado no então município de Buquira que foi emancipado e recebeu o nome da sua maior personalida","Mecenato","Obtenção e manutenção de equipamentos, remunerar coordenador geral, secretária,aux. administrativo,serviços de contabilidade,eletriicista, e pintor para modernização e incremento da biblioteca;implantação de acesso a internet; implantação da videoteca com apresentações de cinema.Está localizado no Bairro dos Souzas, Município de Monteiro Lobato,SP.Periodo: nos meses de abril a dezembro de 2009. Usuários: a comunidade de Monteiro Lobato.","","","2009-04-19","Objetivo Geral   Modernização,incremento de acervo,implantação de uma rede para acesso a internet para atender  a centenas de usuários que já frequenta a biblioteca e implantação da videoteca.      Ob","","– O Instituto Pandavas, herdeiro legal da Casa dos Pandavas, unidade da Associação Palas Athena do Brasil no Município de Monteiro Lobato, vem atuando desde 1978 neste local. Nesta transição, manteve",,39,"","2009-12-31"
,"A Associação dos profissionais de dança de Caxias do Sul, proponente deste projeto cultural, se compromete em disponibilizar e a fazer cumprir as normas de acesso para o público da terceira idade e po","","ARTES E CIÊNCIAS DO CORPO

","No intuito de democratizar os produtos culturais resultante deste projeto, a Associação dos profissionais de dança de Caxias do Sul propõe:   Espetáculo OP.CIT.  (10 apresentações) = Dos 5.000 ingre","·       Oportunizar o trabalho de pesquisa corporal e intelectual denominado Artes e Ciências do Corpo e a subseqüente criação e apresentação do espetáculo OP. CIT.; ·       Transferir, adequar e mol","Mecenato","Criação, produção e 10 apresentações do espetáculo de dança contemporânea “OP. CIT”, no ano de 2009. Promoção do encontro “Imersão” que sob formato de Mesa de Discussões intenciona promover reflexões sobre as Artes e as Ciências do Corpo. Manutenção por 12 meses das atividades do elenco, garantindo o desenvolvimento das habilidades individuais, a estabilidade deste coletivo e a continuidade do processo criativo gerado por este grupo de artistas.","","","2009-05-01","·       Criar, produzir e disponibilizar ao público o espetáculo de dança contemporânea, intitulado “OP. CIT”, através de 10 apresentações que acontecerão na cidade de Caxias do Sul e região, direcion","","FASE: Pré-produção/preparação Prazo de realização: 1 semana   05/ 2009 §  Reunir equipe de trabalho. §  Apresentação do projeto para a equipe. §  Confirmação dos Especialistas pretendidos. §",,40,"","2010-04-30"
"2011-06-11","A Labareda Cultural Produções Ltda. declara que no Projeto: Na Trilha de Um Tempo ..., tomará as medidas necessárias de acessibilidade, facilitando o acesso ao local como na escolha de locais que poss","","Na Trilha de um Tempo ...","A Labareda Cultural Produções Ltda. declara que no Projeto: Na Trilha de Um Tempo ..., tomará as medidas necessárias à democratização de acesso como oferecer ingressos a preços mais populares, garanti","Com o mercado artístico estrangulado pelo excesso de novos profissionais que proliferam na mídia televisiva há um descarte aos grandes artistas que numa época atrás fizeram parte e contribuí","Mecenato","Resgatar a história de Artistas Brasileiros. Nesta primeira fase serão 4 Artistas que farão um total de 48 apresentações (12 cada) sendo 32 no RJ, 8 em BH e 8 em SP. Como contra partida, o Artista Principal abrirá espaço no seu palco para um Artista local, ou seja, 48 novos talentos serão apresentados ao público. E, um percentual dos ingressos será doado para a Casa dos Artistas e ao Instituto Lar Maria de Lourdes (atende portadores de deficiência física e/ou mental.","","","2009-04-10","- Apresentar 48 espetáculos em 3 capitais brasileiras, Rio de Janeiro, Belo Horizonte e São Paulo, a trajetória de 4 Artistas que estão no inconsciente coletivo.           - Cada Artista ter","","Abril  2009       Pesquisas de imagens e textos das biografias       Roteiro       Ensaios       Agendamento dos Espetáculos       Projeto cenográfico, de figurino e de maquiagem       Projeto gráfic",,41,"","2009-11-30"
,"Informações sobre acessibilidade aos locais do show VIAGEM DE VERÂO, nas cidades do Rio, Brasília e Curitiba:    1. RIO DE JANEIRO - Teatro Carlos Gomes. - Entrada especial lateral para deficientes f","","VIAGEM DE VERÃO","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Font Definitions */ @font-face {font-family:Lucida Sans Unicode; panose-1:2 11 6 2 3 5 4 2 2 4; mso-font-alt:Tah","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Font Definitions */ @font-face {font-family:Lucida Sans Unicode; panose-1:2 11 6 2 3 5 4 2 2 4; mso-font-alt:Tah","Mecenato","Realização de seis apresentações do espetáculo VIAGEM DE VERÃO (show musical acústico, que faz um paralelo entre canções alemãs do século 19 e composições brasileiras atuais), nas ultimas sextas e sábados do mês de maio de 2009, nas cidades do Rio de Janeiro, Brasília e Curitiba.","","","2009-07-01","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Font Definitions */ @font-face {font-family:Lucida Sans Unicode; panose-1:2 11 6 2 3 5 4 2 2 4; mso-font-alt:Tah","","PRE PRODUÇÃO - 45 dias. Contratação de artistas, técnicos e produção local. Reserva dos teatros em cada cidade. Liberações em geral. DIVULGAÇÃO - 30 dias. Contratação de assessoria de imprensa. Confec",,42,"","2009-12-31"
